tanggal;harga
01/01/2022;851940
08/01/2022;851275
15/01/2022;861760
22/01/2022;873092
29/01/2022;851795
05/02/2022;855079
12/02/2022;867764
19/02/2022;892045
26/02/2022;907282
05/03/2022;927687
12/03/2022;932580
19/03/2022;913023
26/03/2022;924946
02/04/2022;926202
09/04/2022;924070
16/04/2022;939936
23/04/2022;930183
30/04/2022;915863
07/05/2022;915882
14/05/2022;903935
21/05/2022;914855
28/05/2022;919724
04/06/2022;915800
11/06/2022;916025
18/06/2022;928499
25/06/2022;926004
02/07/2022;914801
09/07/2022;898016
16/07/2022;890803
23/07/2022;897096
30/07/2022;904344
06/08/2022;921229
13/08/2022;915222
20/08/2022;898933
27/08/2022;897649
03/09/2022;883071
10/09/2022;890251
17/09/2022;876362
24/09/2022;879339
01/10/2022;881324
08/10/2022;892856
15/10/2022;881992
22/10/2022;879347
29/10/2022;885456
05/11/2022;881525
12/11/2022;913657
19/11/2022;922765
26/11/2022;914783
03/12/2022;932548
10/12/2022;933595
17/12/2022;934589
24/12/2022;937479
31/12/2022;952307
07/01/2023;957461
14/01/2023;975052
21/01/2023;974097
28/01/2023;965381
04/02/2023;964374
11/02/2023;964145
18/02/2023;954203
25/02/2023;951301
04/03/2023;963076
11/03/2023;968087
18/03/2023;992023
25/03/2023;1014590
01/04/2023;1012720
08/04/2023;1012845
15/04/2023;1016705
22/04/2023;999995
29/04/2023;999690
06/05/2023;1014774
13/05/2023;1002878
20/05/2023;986045
27/05/2023;982109
03/06/2023;992881
10/06/2023;999644
17/06/2023;998700
24/06/2023;986750
01/07/2023;991662
08/07/2023;988812
15/07/2023;1011684
22/07/2023;1008784
29/07/2023;1002829
05/08/2023;1004732
12/08/2023;997832
19/08/2023;994764
26/08/2023;1003710
02/09/2023;1010703
09/09/2023;1005655
16/09/2023;1004699
23/09/2023;1007837
30/09/2023;989624
07/10/2023;979769
14/10/2023;1007886
21/10/2023;1033908
28/10/2023;1034000
04/11/2023;1033814
11/11/2023;1021802
18/11/2023;1024804
25/11/2023;1033779
02/12/2023;1044843
09/12/2023;1045564
16/12/2023;1054461
23/12/2023;1056567
30/12/2023;1059487
06/01/2024;1054588
13/01/2024;1053627
20/01/2024;1054541
27/01/2024;1058515
03/02/2024;1079165
10/02/2024;1065311
17/02/2024;1047641
24/02/2024;1061453
02/03/2024;1070578
09/03/2024;1130686
16/03/2024;1120866
23/03/2024;1137664
30/03/2024;1156355
06/04/2024;1213004
13/04/2024;1213324
20/04/2024;1277535
27/04/2024;1252738
04/05/2024;1251373
11/05/2024;1260655
18/05/2024;1275576
25/05/2024;1258470
